chrom1	coord1	chrom2	coord2
1	3023035	1	14942225
1	3065457	1	19796342
1	3312156	1	5315667
1	3377904	1	24338979
1	3390558	1	20722058
1	3409175	1	4615209
1	3417953	1	3418788
1	3486876	1	5579145
1	3537059	1	4357966
1	3551972	1	5080897
1	3571322	1	35254205
1	3676356	9	46446105
1	3694136	1	7913063
1	3748416	1	3750470
1	3846483	1	4867177
1	3864975	1	24182724
1	3891598	1	4640041
1	3893005	1	13302500
1	3939519	3	106304094
1	3997518	1	5219347
1	4022160	1	43778995
1	4025153	1	62072688
1	4034504	1	64674379
1	4086765	1	16050615
1	4116675	1	21082249
1	4148839	1	6185735
1	4152876	1	21479568
1	4290326	2	155587202
1	4528623	1	49024025
1	4537547	1	13368340
1	4708886	1	23286266
1	4925714	1	16631117
1	4925713	1	4926858
1	4956712	1	64773074
1	5080735	1	5481329
1	5120498	1	21487204
1	5123441	9	45924028
1	5130418	1	16167259
1	5199771	1	59601048
1	5369878	1	64715922
1	5378793	1	5521365
1	5511615	1	8786683
1	5688403	1	11239319
1	5710184	1	21884544
1	5824561	1	30617259
1	5826932	1	65317922
1	5885871	1	15191723
1	5914659	1	5929574
1	5983031	1	65443084
1	5993601	1	33186018
1	5998564	1	33355154
1	6041306	1	6044911
1	6074902	1	6280567
1	6194732	1	32290000
1	6199264	1	6292689
1	6204448	1	64739109
1	6246276	1	6254486
1	6269107	1	7254466
1	6369751	1	63177451
1	6517906	1	38964915
1	6564834	1	6567428
1	6575442	1	6769027
1	6674253	1	89484124
1	6702030	1	14328087
1	6732616	2	123127874
1	6759529	2	156165648
1	6768422	1	17126432
1	6825239	2	134037076
1	6862026	2	134037045
1	6919090	1	124482185
1	6975195	1	102239385
1	6981535	1	6984224
1	7066443	1	14668010
1	7140765	1	24308201
1	7151094	1	37495409
1	7151249	1	37902822
1	7205432	1	63122612
1	7260135	1	23858671
1	7307992	1	24765876
1	7413612	1	32043804
1	7433720	1	11101684
1	7552603	1	14724976
1	7706119	1	7718481
1	7755335	1	32524461
1	7796771	1	50692594
1	8085917	1	42407450
1	8194212	1	14914850
1	8283536	1	8299295
1	8342038	1	15376990
1	8349927	1	8355415
1	8354844	1	42261345
1	8469597	1	53213357
1	8476661	1	29343494
1	8605735	1	52539571
1	8983182	1	39479023
1	9006210	1	45956951
1	9207717	1	45412186
1	9269465	1	9634562
1	9278759	1	45327270
1	9304067	1	9306397
1	9305524	1	82314254
1	9440866	1	23104489
1	9532130	1	33942243
1	9556094	1	9648996
1	9696228	1	23836217
1	9777114	1	59320295
1	9780974	1	9787716
1	9787717	1	25897792
1	9794886	1	25642116
1	9878776	16	34057062
1	9907746	1	52566711
1	9910114	1	26617061
1	9923606	1	9995400
1	9943194	1	10001714
1	9952753	16	34062647
1	9953088	1	42214989
1	10055080	16	34046717
1	10071478	1	34059617
1	10074932	1	88705389
1	10138084	1	59307102
1	10146569	1	26744506
1	10148459	1	59388894
1	10179827	1	10452893
1	10183357	1	48793496
1	10187109	1	10870386
1	10304157	1	49356359
1	10315928	1	10693423
1	10325998	1	10588722
1	10342782	1	26863726
1	10389598	1	51911433
1	10451717	1	56401176
1	10582199	1	52079914
1	10585690	1	10609003
1	10586600	11	9600762
1	10592348	1	10681126
1	10601243	1	15125138
1	10626429	1	19036328
1	10652001	1	19796343
1	10747487	1	51603995
1	10748722	4	102864124
1	10819478	11	14675936
1	10897462	1	26870849
1	10917960	1	15183277
1	10941952	1	19918697
1	10951896	1	12307545
1	11017088	1	51363284
1	11129420	1	31657201
1	11147040	1	12781550
1	11147039	1	11432153
1	11166306	1	11234568
1	11243401	1	32554799
1	11298931	1	11361384
1	11347465	1	28591141
1	11413937	1	33181819
